38 Provinsi,,,,,,,,,
,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,,,,,
,Perkotaan,,,Perdesaan,,,Jumlah,,
,2023,,,2023,,,2023,,
,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan,Semester 1 (Maret),Semester 2 (September),Tahunan
ACEH,9.79,-,-,16.92,-,-,14.45,-,-
SUMATERA UTARA,8.23,-,-,8.03,-,-,8.15,-,-
SUMATERA BARAT,4.67,-,-,7.23,-,-,5.95,-,-
RIAU,6.73,-,-,6.65,-,-,6.68,-,-
JAMBI,10.19,-,-,6.28,-,-,7.58,-,-
SUMATERA SELATAN,11.07,-,-,12.21,-,-,11.78,-,-
BENGKULU,14.21,-,-,13.96,-,-,14.04,-,-
LAMPUNG,8.02,-,-,12.65,-,-,11.11,-,-
KEP. BANGKA BELITUNG,3.54,-,-,5.85,-,-,4.52,-,-
KEP. RIAU,5.05,-,-,10.69,-,-,5.69,-,-
DKI JAKARTA,4.44,-,-,-,-,-,4.44,-,-
JAWA BARAT,7.19,-,-,9.3,-,-,7.62,-,-
JAWA TENGAH,9.78,-,-,11.87,-,-,10.77,-,-
DI YOGYAKARTA,10.27,-,-,13.36,-,-,11.04,-,-
JAWA TIMUR,7.5,-,-,13.98,-,-,10.35,-,-
BANTEN,6,-,-,6.79,-,-,6.17,-,-
BALI,3.77,-,-,5.5,-,-,4.25,-,-
NUSA TENGGARA BARAT,13.76,-,-,13.95,-,-,13.85,-,-
NUSA TENGGARA TIMUR,9.12,-,-,23.76,-,-,19.96,-,-
KALIMANTAN BARAT,4.44,-,-,8.07,-,-,6.71,-,-
KALIMANTAN TENGAH,4.78,-,-,5.35,-,-,5.11,-,-
KALIMANTAN SELATAN,3.84,-,-,4.72,-,-,4.29,-,-
KALIMANTAN TIMUR,4.68,-,-,9.28,-,-,6.11,-,-
KALIMANTAN UTARA,5.18,-,-,8.74,-,-,6.45,-,-
SULAWESI UTARA,4.91,-,-,10.38,-,-,7.38,-,-
SULAWESI TENGAH,8.9,-,-,14.09,-,-,12.41,-,-
SULAWESI SELATAN,5.01,-,-,11.91,-,-,8.7,-,-
SULAWESI TENGGARA,7.4,-,-,13.94,-,-,11.43,-,-
GORONTALO,4.47,-,-,23.73,-,-,15.15,-,-
SULAWESI BARAT,9.08,-,-,12.1,-,-,11.49,-,-
MALUKU,5.49,-,-,24.64,-,-,16.42,-,-
MALUKU UTARA,6.23,-,-,6.55,-,-,6.46,-,-
PAPUA BARAT,8.23,-,-,29.2,-,-,20.49,-,-
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,5.68,-,-,34.49,-,-,26.03,-,-
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,7.29,-,-,12.22,-,-,9.36,-,-
